,Copula-GARCH sjc
2015-08-18,-1.1514912322897448
2015-08-19,-1.1275378521451358
2015-08-20,-1.1846689946037006
2015-08-21,-1.8323542796260908
2015-08-24,-2.6967608882885092
2015-08-25,-3.5306233324650917
2015-08-26,-3.239305901167978
2015-08-27,-3.8191528382536255
2015-08-28,-3.7128616683882623
2015-08-31,-3.309119372128213
2015-09-01,-3.025578650277463
2015-09-02,-3.3348784425947877
2015-09-03,-3.2391975591137254
2015-09-04,-2.897808189610547
2015-09-08,-2.7522698740814437
2015-09-09,-2.9298277791342375
2015-09-10,-2.7647745593225115
2015-09-11,-2.5037908816526735
2015-09-14,-2.2549262144573223
2015-09-15,-2.0459082363042542
2015-09-16,-1.9792966751482595
2015-09-17,-1.832694859895858
2015-09-18,-1.6635944589400924
2015-09-21,-1.831593169087036
2015-09-22,-1.668990295233814
2015-09-23,-1.7645023432512041
2015-09-24,-1.6154764883772479
2015-09-25,-1.4964312592891793
2015-09-28,-1.437767403564762
2015-09-29,-2.228787971685857
2015-09-30,-2.0378740066843335
2015-10-01,-2.214957700621629
2015-10-02,-2.012404843270717
2015-10-05,-2.0466879829436513
2015-10-06,-2.1163836193441874
2015-10-07,-1.9566027661595775
2015-10-08,-1.8426005096653602
2015-10-09,-1.7292245354405396
2015-10-12,-1.5861552817813571
