,Variance-Covariance
2015-08-05,-2.277625266574098
2015-08-06,-2.2776033108356004
2015-08-07,-2.2788204184058096
2015-08-10,-2.278971295266326
2015-08-11,-2.2794416803809834
2015-08-12,-2.282058027214605
2015-08-13,-2.2821761030655163
2015-08-14,-2.28260428499315
2015-08-17,-2.2820337014337473
2015-08-18,-2.281903782411714
2015-08-19,-2.282764089059381
2015-08-20,-2.284419490624363
2015-08-21,-2.292686869083776
2015-08-24,-2.3079909314678675
2015-08-25,-2.327832129639235
2015-08-26,-2.3296177281287007
2015-08-27,-2.3335978639939525
2015-08-28,-2.335379346689482
2015-08-31,-2.335396414884535
2015-09-01,-2.3368008589916527
2015-09-02,-2.3488462368530145
2015-09-03,-2.347176309591592
2015-09-04,-2.347490799415478
2015-09-08,-2.3490041472621535
2015-09-09,-2.3522109258778054
2015-09-10,-2.3527282883508565
2015-09-11,-2.3526604029074925
2015-09-14,-2.352012141541685
2015-09-15,-2.347164942407167
2015-09-16,-2.347661856477877
2015-09-17,-2.3465996673286047
2015-09-18,-2.3441143959674333
2015-09-21,-2.3421777461871134
2015-09-22,-2.341939785587256
2015-09-23,-2.345377198254325
2015-09-24,-2.344412077805748
2015-09-25,-2.3444620735744737
2015-09-28,-2.345488189318036
2015-09-29,-2.3560593208519673
2015-09-30,-2.3565251119696122
2015-10-01,-2.3583281387306503
2015-10-02,-2.35830335689881
2015-10-05,-2.359446921888373
2015-10-06,-2.3606222656851954
2015-10-07,-2.3616280133379615
2015-10-08,-2.3615355003103624
2015-10-09,-2.361351322873787
2015-10-12,-2.361362034040446
