,Copula-MSM plackett
2015-07-10,-1.4809674539373907
2015-07-13,-1.6154055539614074
2015-07-14,-1.6601953766572117
2015-07-15,-1.593049646827367
2015-07-16,-1.4922615634870215
2015-07-17,-1.5288281718866417
2015-07-20,-1.4796817387563241
2015-07-21,-1.3422188148010221
2015-07-22,-1.254190570457198
2015-07-23,-1.225893821132433
2015-07-24,-1.2105220080527965
2015-07-27,-1.4295130286511912
2015-07-28,-1.4390676901966013
2015-07-29,-1.5493528246074602
2015-07-30,-1.494198180175679
2015-07-31,-1.3392672893396984
2015-08-03,-1.2358726890209863
2015-08-04,-1.154329105554377
2015-08-05,-1.1042138565277264
2015-08-06,-1.0564301817878605
2015-08-07,-1.2514530039987015
2015-08-10,-1.1770192679756104
2015-08-11,-1.4132233828126524
2015-08-12,-1.5357895436847682
2015-08-13,-1.4041261889663321
2015-08-14,-1.2710564245245324
2015-08-17,-1.184990528572894
2015-08-18,-1.1835466946013922
2015-08-19,-1.1517148994259157
2015-08-20,-1.226584336765407
2015-08-21,-1.7994285179674385
2015-08-24,-2.3041801984692305
2015-08-25,-2.8594507423040483
2015-08-26,-2.701632695008468
2015-08-27,-3.123639884211285
2015-08-28,-3.123672001916368
2015-08-31,-2.8834690167769677
2015-09-01,-2.7218575921576305
2015-09-02,-3.0071173215159384
2015-09-03,-2.9940256514029127
2015-09-04,-2.7900612546734527
2015-09-08,-2.6634091494819034
2015-09-09,-2.886169659052595
2015-09-10,-2.782995410263535
2015-09-11,-2.6141656627033867
2015-09-14,-2.381924898787336
2015-09-15,-2.165949644361355
2015-09-16,-2.1601921812709546
2015-09-17,-2.0317745419795146
2015-09-18,-1.8478851869229302
2015-09-21,-2.02991507053026
2015-09-22,-1.8760388733081172
2015-09-23,-1.9881260396252403
2015-09-24,-1.836589547950654
2015-09-25,-1.7226144967718322
2015-09-28,-1.6742668892008374
2015-09-29,-2.346897961955998
2015-09-30,-2.1685198831704353
2015-10-01,-2.3758956716353272
2015-10-02,-2.166349010179208
2015-10-05,-2.234509127587055
2015-10-06,-2.320241483935999
2015-10-07,-2.1585026485352703
2015-10-08,-2.044921878139874
2015-10-09,-1.9310121093846155
2015-10-12,-1.7981307254127323
