,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-MSM Student
2014-06-03,-1.7682407358493757,-1.7305173317856275,-1.1092082177842488,-1.034054128331795,-1.034081745820967,-1.0858132097555155
2014-06-04,-1.7682407358493757,-1.7308393897738663,-1.0756522083921094,-0.9975928124540496,-0.9976201163236368,-1.03609937940069
2014-06-05,-1.7682407358493757,-1.7269245872480214,-1.0499312498252424,-0.9668470417150654,-0.966897113656512,-0.9963009601599482
2014-06-06,-1.7682407358493757,-1.7268394525298398,-1.073607917982999,-1.0152158731643004,-1.0152652454450404,-1.0956591787861525
2014-06-09,-1.7682407358493757,-1.726615539823983,-1.0620106756271628,-1.0052833102192449,-1.0053446647512194,-1.080771640583432
2014-06-10,-1.7682407358493757,-1.726622245943216,-1.033408308626889,-0.9717847254765076,-0.9718425924159289,-1.0337858183479078
2014-06-11,-1.7682407358493757,-1.725627893320428,-1.001931695686704,-0.9390773314633208,-0.9391375292718912,-0.9834263899113478
2014-06-12,-1.7682407358493757,-1.7262438655729373,-0.9765003509601724,-0.933007971560086,-0.9330688360559776,-0.9617255890263812
2014-06-13,-1.7682407358493757,-1.7270854170028282,-0.9941974977853648,-1.0124957791843547,-1.0125564623937309,-1.0582225650315535
2014-06-16,-1.7682407358493757,-1.7254616983987086,-0.9718517278254588,-0.9804419464473282,-0.9805090646958996,-1.0073363647768907
2014-06-17,-1.7682407358493757,-1.725610665559422,-0.944527899429562,-0.9470968879526904,-0.947158240651526,-0.9594545605873072
2014-06-18,-1.7682407358493757,-1.725682866191677,-0.9234247188632416,-0.9222699663156462,-0.9223286317880472,-1.0249740185942149
2014-06-19,-1.7682407358493757,-1.7254871285880231,-0.9361379436547748,-0.9506365860162111,-0.9506937807354152,-1.0714591503930082
2014-06-20,-1.7682407358493757,-1.7257941173292413,-0.907669189786098,-0.9216112710154848,-0.9216661198421036,-1.0294385103478116
2014-06-23,-1.7682407358493757,-1.7249477315224064,-0.8832108674930816,-0.8928371493661776,-0.8928901289148747,-1.012070630852515
2014-06-24,-1.7682407358493757,-1.7251038754881207,-0.8563047533273346,-0.8679735055351065,-0.8680237659332147,-0.8392692628038246
2014-06-25,-1.7682407358493757,-1.7236756962904447,-0.8575462413752328,-0.9141734383620912,-0.914233058504444,-1.0339675160921311
2014-06-26,-1.7682407358493757,-1.7236275909367018,-0.8637643769543183,-0.9228105087805138,-0.9228745766517692,-1.051634463061605
2014-06-27,-1.7682407358493757,-1.723930118765506,-0.8378866979191472,-0.8985294461749445,-0.8985972379958247,-0.8663861413172463
2014-06-30,-1.7682407358493757,-1.7240111577479298,-0.8219415733034288,-0.879458292556924,-0.8795221672026129,-0.8472704611389349
2014-07-01,-1.7682407358493757,-1.724230525007319,-0.7978751342532946,-0.8562190553776755,-0.8562792688087816,-0.8143156395194789
2014-07-02,-1.7682407358493757,-1.7242488618056722,-0.8546797988359145,-0.9404607268173422,-0.9405220585949392,-1.0836342381204245
2014-07-03,-1.7682407358493757,-1.7243742947611211,-0.8286928927172664,-0.9081805804099776,-0.9082360416420135,-1.0171828637270723
2014-07-07,-1.7682407358493757,-1.7239114150212564,-0.8377089308214696,-0.9161912361194746,-0.9162438151707952,-1.0465441658975894
2014-07-08,-1.7682407358493757,-1.7247586329703075,-0.8453021904572605,-0.9583573395580596,-0.9584069113994576,-0.9904146981120328
2014-07-09,-1.7682407358493757,-1.72485729074717,-0.9191758299994456,-1.1052619231075742,-1.105316415670982,-1.2413778776554016
2014-07-10,-1.7682407358493757,-1.724278384204427,-0.9177890652235952,-1.0841060750174376,-1.0841748070860515,-1.1990959459816768
2014-07-11,-1.7682407358493757,-1.7250041059538173,-0.909418579620698,-1.077271119678441,-1.0773342306740867,-1.183013957294211
2014-07-14,-1.7682407358493757,-1.724639030825836,-0.8895500697540207,-1.0353894837572235,-1.0354444945586647,-1.1201640432991389
2014-07-15,-1.7682407358493757,-1.7244721198463795,-0.8878291187403624,-1.0177974810698072,-1.017846676791464,-1.1135092481523263
2014-07-16,-1.7682407358493757,-1.7252254694503613,-0.8734594491691191,-1.0080909097951634,-1.0081328809266352,-1.051454984386844
2014-07-17,-1.7682407358493757,-1.7249757887257964,-0.8564851650835643,-0.9786053724362614,-0.9786396431265793,-1.064805517004528
2014-07-18,-1.7682407358493757,-1.725441387117005,-0.9831924342516856,-1.200248703519559,-1.2002843384429989,-1.2472672527405408
2014-07-21,-1.7682407358493757,-1.7256226139843442,-1.0860588876752366,-1.305558448003725,-1.3055912324763734,-1.4468393640659682
2014-07-22,-1.7682407358493757,-1.7260718586689163,-1.056059966331059,-1.2445193247125792,-1.244544149906172,-1.287724752231698
2014-07-23,-1.7682407358493757,-1.7237127262289045,-1.0523041092475744,-1.2096102445142167,-1.2096303464891247,-1.2950633136802847
2014-07-24,-1.7682407358493757,-1.723579823783454,-1.0267170246504915,-1.1541397067808246,-1.1541546808750354,-1.1667794476343742
2014-07-25,-1.7682407358493757,-1.721552216615261,-0.9954426660890984,-1.1003987926515388,-1.1004077162625348,-1.08618948745179
2014-07-28,-1.7682407358493757,-1.719196098190648,-0.985574004587372,-1.0967448184875643,-1.096749829158246,-1.088891597347738
2014-07-29,-1.7291612678357058,-1.7127605217324957,-0.9556712794570148,-1.0517302455077535,-1.051752491683131,-1.0155090519512413
2014-07-30,-1.7291612678357058,-1.7132989612019305,-0.932093891527817,-1.0318575073042482,-1.0318732196715212,-1.0507061799334465
2014-07-31,-1.7291612678357058,-1.712666740443288,-0.9084318845820816,-0.9968559843536864,-0.9968657651613874,-1.022801846887038
2014-08-01,-1.7682407358493757,-1.717848296553826,-1.2114584218661844,-1.4893959720680867,-1.4894008492726991,-1.535565337872573
2014-08-04,-1.7682407358493757,-1.7151267742478913,-1.1824929891127212,-1.4178477687822584,-1.4178439384992634,-1.4310302110657702
2014-08-05,-1.7682407358493757,-1.712601666033529,-1.182193175584137,-1.3768232701970868,-1.3768114234871678,-1.411498079926136
2014-08-06,-1.7682407358493757,-1.714021330195227,-1.1953340066675917,-1.3934946597952678,-1.3934700768692023,-1.4551576854538
2014-08-07,-1.7682407358493757,-1.7142437687110008,-1.1589672481477813,-1.3173525994921833,-1.317324361929235,-1.332929961035686
2014-08-08,-1.7682407358493757,-1.714618127524642,-1.1422701307041367,-1.2882617052724297,-1.288244740866271,-1.3111841496117087
2014-08-11,-1.7291612678357058,-1.7048782740685036,-1.1765657109740328,-1.3092601444264926,-1.309307769306684,-1.3649478936047237
2014-08-12,-1.7291612678357058,-1.7048861732555265,-1.1573167043247274,-1.261296456230705,-1.2613394493975,-1.2997291089542786
2014-08-13,-1.7291612678357058,-1.7039316318078848,-1.1255342885149386,-1.2091654812093482,-1.2092065750013412,-1.2110877672952367
2014-08-14,-1.7291612678357058,-1.703761417459973,-1.1428688457062672,-1.2151577756935357,-1.2152030705476158,-1.24774379054705
2014-08-15,-1.7291612678357058,-1.7032773775283416,-1.1214620576445564,-1.1695015363139007,-1.169541625582402,-1.1702270501329002
2014-08-18,-1.7291612678357058,-1.7033630101956492,-1.0885724294893435,-1.1190580891012158,-1.1190979452697831,-1.103605548518164
2014-08-19,-1.7291612678357058,-1.7030525978619186,-1.1170456710779944,-1.1475555075498,-1.147596599067904,-1.1560844197127067
2014-08-20,-1.7291612678357058,-1.7025682376932925,-1.0988888143023636,-1.1152152324191444,-1.1152767084543074,-1.1761931510608
2014-08-21,-1.7291612678357058,-1.7027744033859038,-1.0663736546061169,-1.070059995656239,-1.0701146292289458,-1.060174545456647
2014-08-22,-1.7291612678357058,-1.7029415451070002,-1.037321617355669,-1.0298255301676913,-1.0298765929708522,-1.0137617888382109
2014-08-25,-1.7291612678357058,-1.7031035129975136,-1.0057867415211768,-0.9950305432943046,-0.9950771224110546,-0.984445383929142
2014-08-26,-1.7291612678357058,-1.7027157611624808,-0.9915290534659372,-0.9744577165094938,-0.9745023952976564,-0.9809105904429136
2014-08-27,-1.7291612678357058,-1.7002920392289207,-0.9646315749246184,-0.9392023661235576,-0.9392597545377506,-0.9583590429289476
2014-08-28,-1.7291612678357058,-1.7005863390412164,-0.935251520171786,-0.9107072815248192,-0.910767862676654,-0.9346776187978484
2014-08-29,-1.7291612678357058,-1.7006745434435255,-0.9108945415598928,-0.8965866771446628,-0.8966456370722246,-0.93148955626277
2014-09-02,-1.7291612678357058,-1.700530709795822,-0.8986649070167906,-0.8843537007254029,-0.8844116464430921,-0.7886740587604575
2014-09-03,-1.7291612678357058,-1.7004978795039984,-0.8739141396534047,-0.8663857724425704,-0.8664536522636394,-0.9467245442369652
2014-09-04,-1.7291612678357058,-1.7010837378876855,-0.8569505779125662,-0.8765908257765279,-0.8766559644424529,-0.9601213027877284
2014-09-05,-1.7291612678357058,-1.7013071531546804,-0.8343343546826713,-0.8645575198043989,-0.8646217181787622,-0.8029085593907285
2014-09-08,-1.7291612678357058,-1.701295194619018,-0.8313897627978233,-0.8658313376605141,-0.8658962277124744,-0.9584226855610142
2014-09-09,-1.7291612678357058,-1.7013228391392474,-0.8063298190928102,-0.8564093631037009,-0.856495551085524,-0.8111040636164643
2014-09-10,-1.7291612678357058,-1.702554812392579,-0.8404429146194989,-0.9499455122341252,-0.9500351068908466,-1.0617896418608948
2014-09-11,-1.7291612678357058,-1.7024402372784568,-0.8451285294715855,-0.9513945683653364,-0.9514827443967732,-0.948730035950854
2014-09-12,-1.7291612678357058,-1.702680269782724,-0.8204066570204227,-0.9189237206686866,-0.9190110268369254,-0.9936915363634228
