,Copula-MSM gaussian
2015-09-04,-4.260348454555391
2015-09-08,-4.102264234403739
2015-09-09,-4.358712280550757
2015-09-10,-4.2397554053332875
2015-09-11,-4.02166951981166
2015-09-14,-3.741448939892768
2015-09-15,-3.4703010655124813
2015-09-16,-3.445381302895455
2015-09-17,-3.2674388689419636
2015-09-18,-3.004528125822158
2015-09-21,-3.2427121299197124
2015-09-22,-3.0203417106266754
2015-09-23,-3.17031042491784
2015-09-24,-2.9378957851727083
2015-09-25,-2.7620395171574916
2015-09-28,-2.6841838312608224
2015-09-29,-3.6623439727124993
2015-09-30,-3.4319811469581696
2015-10-01,-3.7103017209023004
2015-10-02,-3.4412080213241727
2015-10-05,-3.5235325976506444
2015-10-06,-3.636050107909677
2015-10-07,-3.4303078230361135
2015-10-08,-3.2633845696753565
2015-10-09,-3.0996472572549854
2015-10-12,-2.89988944084381
